ปีงบประมาณ,จำนวนคดียาเสพติดทั้งหมด(คดี),จำนวนผู้ต้องหาทั้งหมด(คน),ปริมาณยาบ้า(เม็ด),ปริมาณกัญชา(กิโลกรัม),ปริมาณไอซ์(กิโลกรัม),ปริมาณเฮโรอีน(กิโลกรัม),ปริมาณโคเคน(กิโลกรัม),ปริมาณคีตามีน(กิโลกรัม),ปริมาณยาอี(กิโลกรัม),จำนวนผู้เข้าบำบัดฟื้นฟูผู้เสพ/ผู้ติดทั้งหมด(ราย),จำนวนผู้เข้าบำบัดระบบสมัครใจ(ราย),จำนวนผู้เข้าบำบัดระบบบังคับ(ราย),จำนวนผู้เข้าบำบัดระบบต้องโทษ(ราย),จำนวนผู้ผ่านการบำบัดที่ได้รับการติดตามทั้งหมด(ราย),จำนวนผู้ผ่านการบำบัดที่สามารถให้ความช่วยเหลือ(ราย),จำนวนเด็กปฐมวัยที่ได้รับสื่อการสอนเพื่อพัฒนาทักษะสมอง(EF)(คน),จำนวนนักเรียน ป.1 - ป.6 ที่สร้างภูมิคุ้มกันฯ(คน),จำนวนนักเรียน นักศึกษาที่มีกิจกรรมป้องกัน (คน),จำนวนเด็ก/เยาวชนนอกสถานศึกษาที่มีกิจกรรมช่วยเหลือคุ้มครองและดูแล (คน),จำนวนลูกจ้างในสถานประกอบการตั้งแต่ 10 คน ขึ้นไป (คน),จำนวนลูกจ้างในสถานประกอบการต่ำกว่า 10 คน (คน),จำนวนหมู้บ้าน/ชุมชนทั้งหมด (แห่ง),จำนวนหมู้บ้าน/ชุมชนที่มีปัญหายาเสพติดมาก (แห่ง),จำนวนหมู้บ้าน/ชุมชนที่มีปัญหายาเสพติดปานกลาง (แห่ง),จำนวนหมู้บ้าน/ชุมชนที่มีปัญหายาเสพติดน้อย (แห่ง),จำนวนหมู้บ้าน/ชุมชนที่ไม่มีปัญหายาเสพติด (แห่ง),เรื่องร้องเรียนและแจ้งเบาะแสยาเสพติดทั้งหมด (เรื่อง),การดำเนินการต่อเรื่องร้องเรียนและแจ้งเบาะแสยาเสพติดทั้งหมด (เรื่อง),เปอร์เซ็นต์การดำเนินการต่อเรื่องร้องเรียนและแจ้งเบาะแสยาเสพติดทั้งหมด (%),เรื่องร้องเรียนและแจ้งเบาะแสยาเสพติด พื้นที่ (เรื่อง),การดำเนินการต่อเรื่องร้องเรียนและแจ้งเบาะแสยาเสพติด พื้นที่ (เรื่อง) ,เปอร์เซ็นต์การดำเนินการต่อเรื่องร้องเรียนและแจ้งเบาะแสยาเสพติด พื้นที่ (%),เรื่องร้องเรียนและแจ้งเบาะแสยาเสพติด บุคคล (เรื่อง),การดำเนินการต่อเรื่องร้องเรียนและแจ้งเบาะแสยาเสพติด บุคคล (เรื่อง),เปอร์เซ็นต์การดำเนินการต่อเรื่องร้องเรียนและแจ้งเบาะแสยาเสพติด บุคคล (%)
2551,133522,163584,10612996,15353.79,506.74,19.68,,,,104388,23327,69707,11354,,,,,,,,,,,,,,,,,,,,,,
2552,151240,161919,12075696,7270.94,100.73,4.74,,,,132051,29510,86484,16057,,,,,,,,,,,,,,,,,,,,,,
2553,191252,204082,35185330,16057.85,605.32,425.62,,,,146254,29697,100752,15805,,,,,,,,,,,,,,,,,,,,,,
2554,319144,337435,49778107,10826.96,1256.16,179.97,26.77,,,206195,40593,149090,16512,,,,,,,,,,,,,,8404,1864,22.18,2918,380,13.02,4808,1481,30.8
2555,353792,373386,77018469,13604.61,2285.09,256.01,21.59,,,336877,165082,150387,21408,232646,,,,,,,,,,,,,19181,12785,66.65,8457,5240,61.96,10723,7545,70.36
2556,422566,441814,126038948,28717.3,2091.89,765.59,0.06,,,338096,137779,174726,25591,326159,,,1396753,4063267,,,,78925,3447,,,17905,17332,13238,76.38,6984,5235,74.96,10347,8003,77.35
2557,347028,365918,96155912,28104.54,1073.6,497.26,,,,251287,84312,145980,20995,344777,,,1919951,3166024,31965,,52571,76749,9433,6064,13584,47668,15528,11413,73.5,4886,3482,71.26,10642,7931,74.53
2558,264974,284499,87456206,22927.82,1442.05,179.24,33.68,,,214965,103361,91306,20298,260627,10997,,3782377,4369562,12340,,300861,75884,7668,6925,17925,44749,13417,10286,76.66,3551,2508,70.63,9866,7778,78.84
2559,223247,249109,93737695,8439.82,1161.03,147.49,48.48,30.91734,,180881,107673,54172,19036,182636,4606,,3863136,3771329,55402,58865,1467943,74692,7258,5657,15281,46496,12091,12091,100,2519,2519,100,9572,9572,100
2560,261112,287238,214929485,13797.4638,5200.75426,376.56795,45.45418,658.38667,,195767,112631,57222,25914,174729,8271,1244993,4013183,3237900,204232,89760,1390893,79113,6660,6207,16628,49618,13317,13316,99.99,2589,2589,100,10727,10727,100
2561,331941,357585,339691921,16401.94,19347.92,940.63,40.67,551.44,,208050,107079,76455,24516,160628,1864,2600786,3490648,4121571,133948,26580,1532027,74758,3152,4270,14644,52692,15781,15781,100,2620,2620,100,13161,13161,100
2562,363769,385771,518896161,13922.87657,16284.52278,941.85145,27.89522,734.81512,,229680,102681,99901,27098,182885,1022,1635966,3522650,4288647,88542,26388,1638366,73464,3738,4260,14023,51443,15715,15698,99.89,2114,2114,100,13601,13584,99.88
2563,323903,337399,206835736,7380.04389,13117.97901,263.79025,3.287,670.3213,,190395,76118,89261,13335,193003,3030,1553857,3486140,4034460,114213,0,136271,72216,2695,4198,14085,51238,16773,16525,98.52,2003,1956,97.65,14770,14569,98.64
2564,336582,349511,333599387,35079.1145,19414.34058,1678.2036,24.31746,431.48134,0,168569,59566,73490,22032,154051,1023,1360455,3196508,3735341,113898,1099656,51588,68937,2089,998,14982,50868,16935,16438,7508.95,1655,1611,7258.35,15280,14827,7511.25
