,organization,healthzone,total testing,results_over_limit,results_limit,sex_male,sex_female,vehicle_sedan ,vehicle_pickup,vehicle_truck,vehicle_motorcycle,vehicle_freightbicycles,vehicle_bicycle,vehicle_farmtruck,vehicle_van,vehicle_bus,vehicle_other,vehicle_unidentified
0,ศูนย์พิษวิทยา สถาบันวิจัยวิทยาศาสตร์สาธารณสุข,4,55,28,27,53,2,5.0,9,0.0,39,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1,ศูนย์วิทยาศาสตร์การแพทย์ที่ 1 เชียงใหม่,1,255,160,95,226,29,25.0,50,6.0,160,0.0,1.0,1.0,0.0,0.0,6.0,6.0
2,ศูนย์วิทยาศาสตร์การแพทย์ที่ 1/1 เชียงราย,2,65,32,33,56,9,3.0,8,1.0,45,1.0,0.0,0.0,1.0,0.0,1.0,5.0
3,ศูนย์วิทยาศาสตร์การแพทย์ที่ 2 พิษณุโลก,3,171,85,86,148,23,8.0,16,1.0,107,0.0,1.0,0.0,0.0,0.0,19.0,19.0
4,ศูนย์วิทยาศาสตร์การแพทย์ที่ 3 นครสวรรค์,4,144,76,68,127,17,6.0,20,1.0,85,0.0,1.0,0.0,2.0,0.0,2.0,27.0
5,ศูนย์วิทยาศาสตร์การแพทย์ที่ 4 สระบุรี,5,12,5,7,11,1,0.0,3,1.0,7,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6,ศูนย์วิทยาศาสตร์การแพทย์ที่ 5 สมุทรสงคราม,6,133,59,74,118,15,10.0,24,2.0,76,2.0,4.0,0.0,1.0,4.0,9.0,1.0
7,ศูนย์วิทยาศาสตร์การแพทย์ที่ 6 ชลบุรี,7,202,121,81,180,22,33.0,47,6.0,97,0.0,0.0,0.0,1.0,0.0,12.0,6.0
8,ศูนย์วิทยาศาสตร์การแพทย์ที่ 7 ขอนแก่น,8,205,89,116,183,21,15.0,52,7.0,116,0.0,6.0,1.0,0.0,2.0,6.0,0.0
9,ศูนย์วิทยาศาสตร์การแพทย์ที่ 8 อุดรธานี,9,259,153,106,225,34,17.0,29,3.0,182,0.0,5.0,1.0,2.0,0.0,8.0,12.0
10,ศูนย์วิทยาศาสตร์การแพทย์ที่ 9 นครราชสีมา,10,284,140,144,254,30,19.0,34,4.0,90,2.0,2.0,0.0,0.0,0.0,9.0,124.0
11,ศูนย์วิทยาศาสตร์การแพทย์ที่ 10 อุบลราชธานี,11,155,66,89,131,24,3.0,16,4.0,97,1.0,0.0,1.0,0.0,0.0,16.0,17.0
12,ศูนย์วิทยาศาสตร์การแพทย์ที่ 11 สุราษฎร์ธานี,11,129,59,70,120,9,3.0,24,7.0,79,1.0,0.0,0.0,0.0,0.0,11.0,4.0
13,ศูนย์วิทยาศาสตร์การแพทย์ที่ 12 สงขลา,12,71,27,44,59,12,9.0,11,1.0,42,0.0,3.0,0.0,1.0,0.0,2.0,2.0
14,ศูนย์วิทยาศาสตร์การแพทย์ที่ 12/1 ตรัง,12,39,16,23,36,3,1.0,5,0.0,28,0.0,0.0,0.0,1.0,0.0,1.0,3.0
